ID,Do you like cats?,Do you like dogs?,"If you were stranded on a desert island, what is the one item you want to have with you?","If you were to create a slogan for your life, what would the slogan be? (Examples: ""Eat, drink, and be merry, for tomorrow, we all die."" ""Bite off more than you can chew."" ""There are far better things ahead than any we leave behind."")",What is your favorite day of the week?,"Are you a lark, an owl, or a hummingbird?",What is your favorite food?,What is your favorite drink?,What is your favorite season?,What is your favorite Month?,What is one hobby that you enjoy?,What is your degree program?,What is your primary specialization?,What is your primary statistical software?,"What is your level of R experience (1=None, 5=Advanced)?",How comfortable are you with coding?,How long have you been coding (in years or months)?,What are three things you hope to learn in this course?,"What is your major public health area of interest (e.g. cancer, heart disease, maternal child health, disparities, etc.)?",What is your favorite number?,What is your birth day (e.g. October 28-report 28)?,What is your birth month (e.g. October 28-report 10)?,What is your home country?,What is your home state?,What is your home city?,What is your highest education level?
1,Yes,Ambivalent,water,"""Love yourself first and everything else will fall into place.""",Sunday,Hummingbird (I am neither a lark nor an owl),shrimp,sparkling water,Fall,October,reading,MPH only,Epidemiology/Biostatistics,R,4,5,>=2 years,,cancer,28,28,10,United States,Missouri,Saint Louis,Doctoral degree
2,No,Yes,A swiss army knife,"If plan A doesn't work, there's always plan B, C,...Z. Always, have options. ",Thursday,Lark ( I am a morning person),Pizza,Coffee,Summer,February,Running,MPH only,Epidemiology/Biostatistics,SPSS,1,2,0 to <3 months,"As much as I can regarding coding, and overall how to use R.",emerging/ re-emerging infectious diseases,6,27,2,Bolivia,Santa Cruz,Santa Cruz,Bachelor's degree
3,Yes,Ambivalent,Matches,I go to seek a Great Perhaps,Friday,Owl (I am a night person),French fries,Diet Coke,Fall,September,Barre ,MPH only,Epidemiology/Biostatistics,R,4,4,9 months to <1 year,"Better coding skills, more advanced data analysis topics, real-world applications of data",Reproductive health,19,19,9,United States,Illinois,Marengo,Bachelor's degree
4,Yes,Ambivalent,food,LIve in the moment.,Monday,Owl (I am a night person),Cake,Tea,Fall,September,Listen to the music,MPH only,Epidemiology/Biostatistics,R,3,4,3 to <6 months,Data manipulation; logistic regression; survival analysis,"Obesity, nutrition, and aging.",3,29,9,China,Hubei,Wuhan,Bachelor's degree
5,Yes,Yes,A lighter.,Life has no standards.,Friday,Owl (I am a night person),Grilled squid.,Peach juice.,Fall,September,Singing.,MPH only,Epidemiology/Biostatistics,SPSS,3,5,0 to <3 months,"R skills, data analysis, team work.",Cancer.,7,18,4,China.,N/A,Shanghai.,Bachelor's degree
6,Yes,Ambivalent,Running Shoes ,Running away from your problems is a temporary solution but running to solve your problems is a life long coping mechanism. ,Sunday,Lark ( I am a morning person),Everything Bagel,Kombucha,Spring,May,Marathon training,MPH only,Epidemiology/Biostatistics,R,3,4,>=2 years,1) I hope to learn how to use GITHUB 2) How to simultaneously work on R files with classmates without emailing back and forth 3) How to present a clean R file,Pediatrics (Healthcare),13,12,9,United States,Virginia,Chesapeake,Bachelor's degree
7,Yes,Ambivalent,Water purifier or something like that,Get outside. Work ain't life.,Friday,Hummingbird (I am neither a lark nor an owl),cheese?,water or lemonade,Fall,November,Ultimate frisbee,MSW/MPH,Epidemiology/Biostatistics,R,4,4,9 months to <1 year,"higher level data analysis, more R skills, longitudinal analysis?",emergency response,3,30,10,USA,CA,Mountain View,Bachelor's degree
8,Yes,Yes,A good book,,Friday,Owl (I am a night person),Burritos,,Winter,December,Rock Climbing,MPH only,Epidemiology/Biostatistics,SPSS,2,3,3 to <6 months,"Improved r skills, how to analyze complex (and maybe messy) data, and how to hunt for good datasets",Infectious disease epi,8,25,12,United States,Missouri,Kansas City,Bachelor's degree
9,Yes,Yes,boat,"""She hid under the covers, but like in a defiant and cool way.""",Sunday,Lark ( I am a morning person),mac & cheese,NY Riesling,Fall,December,cooking potatoes,MSW/MPH,Epidemiology/Biostatistics,SPSS,3,4,>=2 years,Make my R syntax look prettier ,human-centered storytelling and data for health equity ,10,23,12,United States,PA,Williamsport,Bachelor's degree
10,No,Yes,phone,Be Boundless,Thursday,Lark ( I am a morning person),Hot Pot,Diet Coke,Spring,December,golf,MPH only,Epidemiology/Biostatistics,R,3,2,3 to <6 months,Different statistical analysis in R,"Cancer, chronic disease, diabetes",7,6,7,China,Washington State,Hong Kong/Seattle/Shanghai,Bachelor's degree
11,Yes,Yes,Satellite phone,,Friday,Hummingbird (I am neither a lark nor an owl),Mac n cheese,Water,Fall,August,Reading,PhD,Data science,R,4,5,>=2 years,,Social determinants of health,13,13,8,USA,NY,NYC,Doctoral degree
12,Ambivalent,Yes,,It is what it isssss,Friday,Hummingbird (I am neither a lark nor an owl),Vietnamese pho,Lemonade,Spring,July,"I grew up around music, so playing guitar and piano and singing are my hobbies",MPH only,Epidemiology/Biostatistics,SPSS,2,2,0 to <3 months,I really hope to become more comfortable with coding as I'd like to eventually learn python.,I don't really have an area of interest (which is freaking me out because I have to come up with my capstone project soon). I just really like data and using it as a method of storytelling.,7,7,9,United States,Minnesota,Minneapolis,Bachelor's degree
13,Yes,Yes,Kindle with all the books downloaded for offline reading,"""If people sat outside and looked at the stars each night, I bet they would live a lot differently."" and ""Life's disappointments are harder when you don't know any swear words."" Both by Calvin and Hobbes.",Thursday,Owl (I am a night person),Pav Bhaji,Buttermilk,Spring,October,Reading Calvin and Hobbes comic strips and fiction,MPH only,Epidemiology/Biostatistics,SPSS,2,2,0 to <3 months,,"oncology, infectious diseases",5,5,October,India,Gujarat,Rajkot,Master's degree
14,No,Yes,Phone,,Saturday,Owl (I am a night person),Rice,Water,Fall,February,Running,MPH only,Epidemiology/Biostatistics,Stata,2,2,6 to <9 months,"Data management
Data analysis
Interpretation of results",Adolescent health,10,22,2,Uganda,Masaka,Masaka,Bachelor's degree
15,Yes,Yes,Satellite telephone,Happiness is the most important thing.,Saturday,Hummingbird (I am neither a lark nor an owl),Lamb chops,Lemonade,Spring,March,Listening to music,MPH only,Epidemiology/Biostatistics,SPSS,3,3,6 to <9 months,Proficiency in using R for biostatistics; Learn common biostatistical methods; Ability to handle real-world data.,Autoimmune diseases,7,23,11,China,/,Shanghai,Bachelor's degree
16,Yes,Yes,Tea ,It’s never too late to start learning!,Saturday,Owl (I am a night person),Rice rolls,Boba tea,Spring,June,Playing the piano,MPH only,Epidemiology/Biostatistics,SPSS,2,2,0 to <3 months,"Practice R, survival analysis, and be able to apply GLM and survival analysis with real datasets",Immunology and metabolism ,6,June 8th,"June 8th, 1998",China,N/A,Shenzhen,Bachelor's degree
17,Ambivalent,Ambivalent,container to collect rainfall/boil water in,"A lot can change in a year, but try to embrace each moment in the presence ",Thursday,Hummingbird (I am neither a lark nor an owl),ice cream,seltzer water,Fall,October,cycling/biking,MPH only,Epidemiology/Biostatistics,R,3,4,9 months to <1 year,"reproducible coding, enhance my R coding skills, and data analysis methods not yet introduced in my other classes",disparities,7,13,3,United States of America,Ohio,Dayton,Bachelor's degree
18,Yes,Yes,Coffee!,Everything happens for the best.,Saturday,Owl (I am a night person),Butter Chicken:),"Coffee with cream and sugar - Iced/hot (anything works, I just love coffee)",Fall,November,Painting:),MPH only,Epidemiology/Biostatistics,R,4,5,6 to <9 months,"Be more comfortable writing the code myself in R, learn more Statistical concepts related to Epi,  and focus more on understanding the statistical concepts compared to coding in R (since in previous classes I was more focused on learning to write the code than to understand what is it doing!)",Infectious and Chronic diseases,13,13-Aug-97,August,India,Maharashtra,Thane,Bachelor's degree
19,Ambivalent,Yes,water,Start early,Saturday,Hummingbird (I am neither a lark nor an owl),Jollof,Apple juice,Spring,May,Soccer,MPH only,Epidemiology/Biostatistics,Stata,1,2,0 to <3 months,"R, data analysis",cancer,9,4,5,Ghana,N/A,Accra,Master's degree
20,Ambivalent,Yes,"A gps phone (like in the show Alone, so I can try and call for help)",There are no good or bad people. ,Saturday,Owl (I am a night person),Rice,Slushees,Spring,April,Magic the Gathering,MPH only,Epidemiology/Biostatistics,R,4,4,>=2 years,"1. Real World Coding, 2. Is it possible to do machine learning in R? 3. Using data analysis to asses the efficacy of policy.","Gun Violence, and/or police violence",13,30,4,USA,Missouri,Waynesville,Bachelor's degree
21,Yes,Yes,laptop,Keep happy and enjoy the life,Saturday,Lark ( I am a morning person),Ice cream,Hot chocolate,Fall,May,Travel,MPH only,Epidemiology/Biostatistics,R,3,3,1 to <2 years,"Coding, analysis, research",Obesity and nutrition,12,12,10,China,Jiangsu,Changzhou,Bachelor's degree
22,Ambivalent,Yes,Swiss knife,"""I was within and without, simultaneously enchanted and repelled by the inexhaustible variety of life""",Friday,Owl (I am a night person),Steak,Dr. Pepper,Fall,July,Swimming,MPH only,Epidemiology/Biostatistics,R,2,2,1 to <2 years,"Statistics, Coding, Epidemiology",Genetic epidemiology,12,19,12,Hong Kong,Hong Kong,Hong Kong,Bachelor's degree
23,Yes,Yes,dogs,,Saturday,Owl (I am a night person),sushi,matcha mill tea,Summer,June,,MPH only,Epidemiology/Biostatistics,R,2,3,3 to <6 months,Data wrangling with fancy codes in R and data analysis,cancer,21,,,,,,Bachelor's degree
