Drink,Category,_Calories,_Fat__g_,_Carb___g_,_Fiber__g_,_Protein__g_
Blonde Roast,Freshly Brewed Coffee,5,0,0,0,1
Brown Sugar Shortbread Creme Frappuccino®,Frappuccino® Blended Beverages,,,,,
Brown Sugar Shortbread Crème,Kids  Drinks & Others,290,9,44,0,9
Brown Sugar Shortbread Frappuccino®,Frappuccino® Blended Beverages,,,,,
Brown Sugar Shortbread Latte,Starbucks Espresso Beverages,380,11,57,0,12
Brown Sugar Shortbread Light Frappuccino®,Frappuccino® Blended Beverages,,,,,
Caffè Americano,Starbucks Espresso Beverages,,,,,
Caffè Latte,Starbucks Espresso Beverages,190,7,19,0,13
Caffè Misto,Freshly Brewed Coffee,,,,,
Caffè Mocha,Chocolate Beverages,290,8,42,4,13
Caffè Mocha,Starbucks Espresso Beverages,290,8,42,4,13
Caffè Vanilla Frappuccino® Blended Coffee,Frappuccino® Blended Beverages,,,,,
Caffè Vanilla Light Frappuccino® Blended Coffee,Frappuccino® Blended Beverages,,,,,
Cappuccino,Starbucks Espresso Beverages,120,4,12,0,8
Caramel Brulée Crème Frappuccino® Blended Crème,Frappuccino® Blended Beverages,,,,,
Caramel Brulée Frappuccino® Blended Beverage,Frappuccino® Blended Beverages,300,3.5,63,0,6
Caramel Brulée Latte,Starbucks Espresso Beverages,360,6,66,0,12
Caramel Brulée Light Frappuccino® Blended Beverage,Frappuccino® Blended Beverages,180,1,39,3,6
Caramel Brulée Steamer,Kids  Drinks & Others,290,5,50,0,10
Caramel Cocoa Cluster Frappuccino® Blended Coffee,Frappuccino® Blended Beverages,,,,,
Caramel Frappuccino® Blended Coffee,Frappuccino® Blended Beverages,,,,,
Caramel Light Frappuccino® Blended Coffee,Frappuccino® Blended Beverages,,,,,
Caramel Macchiato,Starbucks Espresso Beverages,250,7,35,0,10
Chai Crème Frappuccino® Blended Crème,Frappuccino® Blended Beverages,,,,,
Chai Eggnog Latte,Lattes and Teas,,,,,
Chai Latte,Lattes and Teas,,,,,
Chestnut Praline Chai Tea Latte,Lattes and Teas,,,,,
Chestnut Praline Frappuccino® Blended Beverage,Frappuccino® Blended Beverages,,,,,
Chestnut Praline Frappuccino® Blended Crème,Frappuccino® Blended Beverages,,,,,
Chestnut Praline Latte,Starbucks Espresso Beverages,260,6,39,0,11
Chestnut Praline Light Frappuccino® Blended Beverage,Frappuccino® Blended Beverages,,,,,
Chocolate Smoothie,Chocolate Beverages,320,5,53,8,20
Chocolate Smoothie,Smoothies,320,5,53,8,20
Christmas Tree Frappuccino® Blended Crème,Frappuccino® Blended Beverages,,,,,
Christmas Tree Frappuccino® Blended Crème,Frappuccino® Blended Beverages,,,,,
Cinnamon Dolce Crème,Kids  Drinks & Others,200,6,28,0,10
Cinnamon Dolce Frappuccino® Blended Coffee,Frappuccino® Blended Beverages,260,3,52,0,5
Cinnamon Dolce Latte,Starbucks Espresso Beverages,270,7,41,0,11
Cinnamon Dolce Light Frappuccino® Blended Coffee,Frappuccino® Blended Beverages,,,,,
Cinnamon Roll Frappuccino® Blended Coffee,Frappuccino® Blended Beverages,,,,,
Clover® Brewed Coffee,Freshly Brewed Coffee,10,0,0,0,1
Coffee Frappuccino® Blended Coffee,Frappuccino® Blended Beverages,,,,,
Coffee Light Frappuccino® Blended Coffee,Frappuccino® Blended Beverages,110,0,24,0,3
Coffee Traveler,Freshly Brewed Coffee,,,,,
"Cool Lime Starbucks Refreshers""! Beverage","Starbucks Refreshers""! Beverages",45,0,11,0,0
Cupcake Crème Frappuccino® Blended Crème,Frappuccino® Blended Beverages,,,,,
Dark Mocha Crème Frappuccino® Blended Beverage,Frappuccino® Blended Beverages,,,,,
Dark Mocha Frappuccino® Blended Beverage,Frappuccino® Blended Beverages,,,,,
Dark Mocha Light Frappuccino® Blended Beverage,Frappuccino® Blended Beverages,,,,,
Decaf Pike Place® Roast,Freshly Brewed Coffee,5,0,0,0,1
